;Prim;BFS;A-Star;IDA;path Length
1;280284;389706;191634;75191;224
2;264192;356645;191927;77239;264
3;279406;372151;139264;107374;204
4;266826;356353;104741;56759;224
5;275602;369518;403164;143945;212
6;279991;211822;57344;30135;200
7;263314;185491;77824;57636;216
8;275309;375662;117321;111763;208
9;272091;208896;66121;31013;220
10;265947;375954;112640;28086;240
11;265070;322121;111177;51200;244
12;280576;339968;133413;71680;236
13;270628;372151;164426;96256;216
14;269166;357522;269751;119369;200
15;261266;193390;53833;52371;204
16;265947;365714;108251;43300;212
17;264192;344357;211530;94208;224
18;267995;337043;136631;63488;272
19;287891;201874;46811;28087;228
20;228206;185198;61440;52371;224
21;207434;299593;118199;83383;204
22;203337;261559;67291;34524;220
23;211821;261852;91867;81335;268
24;217088;289938;64658;24283;220
25;222062;292572;67877;71388;208
26;230254;267996;127269;64951;220
27;200704;136924;43886;25746;212
28;215333;296960;160914;70802;208
29;208897;178761;46227;16969;228
30;205970;278235;284380;114980;244
31;207140;285550;155941;18139;212
32;208311;291694;126099;55881;220
33;207433;285258;66121;55003;220
34;206848;280869;80165;91575;204
35;214748;292279;116444;43301;236
36;202752;272676;86894;27794;248
37;210944;112933;40374;24576;216
38;210067;251026;52956;19309;208
39;210359;223525;78701;45349;252
40;208018;251611;121124;97719;244
41;219429;290523;114103;33060;268
42;212407;287890;104740;51493;212
43;209773;282039;141312;79872;200
44;203337;272384;121417;50615;272
45;203044;229961;44764;23114;216
46;207726;245175;80750;65536;220
47;224110;295790;165889;70510;248
48;251611;297838;160622;76654;216
49;207726;117321;38035;11410;204
50;208604;294034;105034;102400;224
51;206849;284965;163840;80164;204
52;202460;149212;39498;11703;216
53;205385;275603;73143;45934;208
54;221769;283502;98304;76654;200
55;203338;218258;68461;45934;208
56;221184;828270;185490;25746;204
57;221477;271799;119369;50029;216
58;205385;186953;83968;38034;216
59;209774;178176;39789;29842;204
60;209774;282039;55296;78116;224
61;219721;197486;65536;26039;236
62;206848;258048;61148;48274;224
63;204215;203630;40960;26331;200
64;206848;204508;57344;16677;220
65;208897;265948;74020;29258;204
66;211822;286720;75776;21650;212
67;206556;274140;212114;120832;212
68;202752;154478;51785;27209;224
69;212407;227036;83091;32768;228
70;205678;280868;162962;72265;220
71;201582;220014;73728;34816;248
72;216211;208018;50322;19017;216
73;204215;309248;155940;56173;220
74;216503;287013;217966;78701;208
75;209481;287305;58807;90112;200
76;212700;281454;105033;77531;216
77;208018;277358;145701;78116;232
