;DFS;BFS;A-Star;IDA;path Length
1;350794;231132;270044;23431187;952
2;389120;171154;209774;14454796;824
3;352256;136338;248978;16448671;1348
4;276480;157403;266532;27034207;1404
5;266533;194268;233472;36439215;1260
6;271799;893513;186075;30062617;1060
7;297545;230839;171447;21334911;1056
8;265655;259511;143068;30790534;1088
9;269166;220014;253952;39326605;1600
10;262437;188123;210944;17902167;1124
11;298423;125806;176128;6495969;816
12;270336;202167;523411;11632357;884
13;293449;240786;250149;12847407;852
14;302227;214747;236398;28476585;1244
15;274432;129024;71680;1114990;552
16;265362;222940;313344;28597417;1168
17;299594;195731;298423;18141784;848
18;277943;132535;147164;6046871;708
19;270629;113225;145701;3886522;720
20;261852;236691;200704;18642374;920
21;280869;192512;232595;26711207;1856
22;253952;158867;123465;7337697;760
23;259804;207141;195730;22726967;1208
24;289939;238446;211530;28953477;1392
25;255707;225573;165888;29215036;1232
26;268581;195438;300179;26726422;1548
27;276772;130194;194560;6755480;724
28;286427;194560;192512;26897576;1400
29;289646;178176;148333;16206129;1100
30;257463;178469;149504;20761763;1364
31;273554;131072;190172;5950908;904
32;337920;149796;160037;12018844;1176
33;278528;140727;184613;7823659;812
34;291401;164718;210944;13921437;1332
35;264193;226451;259511;21911862;936
36;258633;186953;265070;14409155;832
37;272969;249856;250734;33191085;1252
38;268580;238154;366592;28687529;1024
39;286135;195438;82505;7765437;668
40;277651;234058;258926;36688194;1872
41;295205;150675;127854;12789185;1052
42;303982;252197;386487;51944051;1944
43;277065;258633;412233;61512314;1968
44;278821;164133;184613;16479976;1564
45;277943;158867;145408;17736279;1184
46;281162;133120;191342;6601294;744
47;277065;187539;277651;22638610;1044
48;281746;210359;185198;32320684;1440
49;276773;151552;335580;6012348;700
50;279406;244297;380343;55954916;2252
51;275017;155355;219429;6257815;684
52;275310;159159;231132;16933171;1448
53;277943;217381;191634;11678291;764
54;276188;200411;289353;8028460;784
55;277943;192220;228791;25228455;1220
56;282917;151845;118491;10286235;916
57;277943;185490;111470;14236245;832
58;274432;202752;306030;14850645;852
59;277650;164425;191342;10849728;880
60;277065;117322;164133;5450611;752
61;276480;239031;374784;31131380;1000
62;280284;237276;278528;41322529;1732
63;287890;250734;374492;57045915;1852
64;276480;212992;219428;28055575;1456
65;270629;144238;126977;11446574;1112
66;278528;163255;88064;5148969;628
67;285257;269166;260681;43173923;1520
68;278236;207726;287305;29805154;1276
69;189879;211530;209481;20147363;980
70;196901;188708;232594;8844734;728
71;284380;178176;165011;11499822;780
72;289353;126976;130487;7285327;1100
73;279406;168229;139557;9432218;900
74;294327;215041;321829;20300962;916
75;285257;167937;408722;10649316;748
76;279698;248685;318903;55600611;2080
77;279698;174080;224110;14074160;1320
78;185783;258048;332654;41416152;1472
79;279113;160037;120832;13628865;1032
80;302226;213870;128731;25542384;892
81;185490;248978;189001;37496862;1716
82;284087;218551;163840;25238109;1288
83;281161;153015;226451;8802018;1008
84;188124;158867;211236;17195900;1316
85;191049;305152;224988;46001043;1800
86;188708;244298;299008;46625098;1684
87;189586;237568;117029;26621681;1140
88;186953;165888;279405;7213062;756
89;186076;167644;98597;7445364;916
90;204801;156526;205385;11053357;1020
91;196608;163840;191049;6943896;676
92;205678;170862;169691;18718735;1312
93;186076;236983;116151;29143063;1088
94;189002;235813;298715;32240812;1456
95;191049;232594;173495;17597308;940
96;191342;164425;166181;4434509;604
97;193683;210944;180517;27782605;1344
98;155940;174373;196023;14212839;1156
99;154771;227621;239324;24845478;1460
100;157696;184320;90112;11494848;892
101;153893;133997;79287;3570252;612
102;162085;233473;162085;30746941;1660
103;155063;176714;181687;18274611;1764
104;153307;174665;184320;11180919;884
105;150967;161792;185198;5995963;812
106;151260;107959;79287;3223847;784
107;156526;150674;124928;13142612;1440
108;155063;142482;104155;9318700;800
109;156234;183149;158866;14386626;948
110;155063;165303;117907;9590499;1112
111;164133;212114;279991;18220486;1328
112;152430;255122;301934;37304642;1484
113;155355;229084;172910;24938516;1708
114;155063;160622;92160;4490975;664
115;153601;255415;217381;38539295;1988
116;152430;209774;178469;12996326;856
117;170862;174080;132243;6935119;780
118;153600;138386;134875;3549479;568
119;153015;133120;182564;4298171;668
120;153893;154185;133705;1657711;544
121;162085;146871;147163;11368750;1248
122;157404;277651;170277;40638790;1744
123;169399;212699;98012;21949897;1120
124;192512;169984;159744;6321303;784
125;155941;97426;96841;5162134;932
126;153015;685788;107959;2177318;636
127;162085;217966;191342;32783826;1832
128;157111;195145;219722;13253789;952
129;154186;253660;328558;40339781;1804
130;161207;188708;115858;14215472;1120
131;191634;260096;133120;25179303;1176
132;160915;122295;80165;3905539;636
133;157696;229669;208897;20507811;1496
134;220599;171740;147456;8581126;824
135;155648;246052;224695;33123794;1888
136;167059;130780;122588;7026693;928
137;152722;149212;167058;3953228;648
138;153308;170570;89234;12594332;952
139;161792;269751;156818;40129714;1532
140;155941;238738;290816;42415577;2084
141;166474;145409;143067;11191744;1052
142;154477;199241;114688;16587351;1016
143;153892;219721;92161;19645895;924
144;157404;225573;247223;32551231;1864
145;156233;201875;244590;21650596;1432
146;155063;174958;93331;10142874;812
147;155063;126098;127561;5849678;940
148;153893;246638;301934;31677319;1316
149;152430;153892;125220;11195547;1188
150;158281;252490;253074;53456061;1900
151;155941;164426;190172;12393921;1204
152;180224;136924;112347;7429858;1104
153;165888;131073;54418;2078721;564
154;153307;208896;144530;25410142;1432
155;155649;207141;135753;24307146;1392
156;151553;137801;142483;7896217;812
157;164132;209188;244883;15302084;872
158;162085;194560;179931;14309681;912
159;156526;162085;83091;10121809;952
160;155940;204215;119076;22355693;1320
161;153600;117614;259804;2048294;580
162;162962;157696;185783;12255535;1056
163;155648;194852;180810;21259427;1468
164;160330;234935;232594;23838446;1200
165;157403;183735;202167;15131807;1244
166;153308;138972;121417;6716275;724
167;161207;255708;157403;29267407;1688
168;155941;243127;174958;27696589;1588
