;Kruskal;BFS;A-Star;IDA;path Length
869;28672;28087;16676;7314;86
870;29549;26916;16676;7607;90
871;29257;28380;25746;7900;78
872;29843;28380;16092;10825;78
873;27795;28965;27795;38034;98
874;28087;28087;16969;12288;82
875;27502;17555;9948;4974;70
876;27502;25162;10533;5559;70
877;27794;27502;22236;11410;74
878;27502;23991;14044;17262;102
879;27210;25454;16384;6437;78
880;27794;23698;12288;6436;78
881;27794;30134;22528;10532;86
882;27209;23405;14336;6729;86
883;36572;28379;11411;4974;74
884;28087;24576;10240;5266;66
885;27209;21065;9069;4096;66
886;27501;21065;15214;7607;66
887;28379;29842;18432;15506;74
888;28086;24576;16092;7900;66
889;28087;23990;10825;5266;62
890;28379;26038;19602;8192;86
891;27795;28087;17554;45934;110
892;27502;19310;11410;7607;70
893;27794;26332;12580;6730;82
894;28086;28672;16676;9070;90
895;27502;26624;20480;6436;90
896;28379;23990;25454;14629;82
897;28087;27209;13166;11996;70
898;26917;25454;12874;7607;66
899;28087;23113;9948;4681;74
900;27501;26331;14336;7607;74
901;28672;23990;9363;9655;62
902;28672;28379;22236;11118;74
903;27501;29257;20480;11996;78
904;28087;29257;16676;8777;82
905;27795;28380;21066;10240;90
906;26916;27209;14922;11118;82
907;27794;26039;11703;7022;78
908;27794;22820;9655;4388;70
909;27502;28087;12581;6437;74
910;28379;26624;15213;10532;78
911;27794;26624;23991;14921;98
912;28087;26624;12580;11703;74
913;28087;27502;15799;8192;94
914;28087;28672;18140;14336;102
915;28087;27795;12581;9362;82
916;27794;27794;17262;16676;90
917;27209;30135;19895;50323;118
918;28086;25161;19603;28380;86
919;27795;27209;18432;7022;78
920;36279;29550;794624;23698;94
921;34816;24284;21357;31890;86
922;154478;32475;13751;5851;82
923;54126;57929;41838;6730;82
924;31012;29549;10533;4389;66
925;28672;29549;30720;12580;90
926;28087;27209;28087;134876;122
927;28380;29842;21357;10532;74
928;28087;25746;16676;9655;78
929;27794;26624;11118;6437;78
930;27794;29257;12873;12288;66
931;28087;28964;28379;14336;82
932;27501;27794;23406;70217;126
933;27794;27794;11411;8777;66
934;29842;26917;9947;4681;66
935;28380;27502;19017;26624;90
936;28672;29842;25161;13166;74
937;27794;23699;18140;6144;86
938;27795;26039;11118;8192;74
939;28087;21650;14921;7607;78
940;28086;26331;19017;10240;82
941;28380;26039;12580;6436;82
942;27794;28087;28965;11996;78
943;27501;27795;10533;10240;74
944;28087;26331;22528;12873;70
945;28087;26624;19603;9654;78
946;27795;28672;28965;96549;110
947;28672;21357;15213;8485;90
948;28379;22820;15799;4974;78
949;27794;26624;22528;10240;78
950;27794;29257;29257;117321;138
951;27502;28379;26332;34231;98
952;28380;28379;20480;8192;74
953;27502;23991;12580;8777;74
954;27795;27502;12288;9363;86
955;27795;28672;18432;14921;94
956;27795;20480;9069;3803;62
957;28672;24576;18432;7314;82
958;27794;27209;11118;8192;98
959;28087;28672;29257;39790;90
960;28087;23406;13458;7022;66
961;27795;24283;15799;9069;82
962;28087;23406;18140;24576;106
963;28672;24576;11411;8192;78
964;27794;23114;17554;12580;86
965;28087;27210;11995;10825;78
966;26917;27502;12580;7900;74
967;27502;25162;14336;10533;86
968;27795;28965;23991;66707;114
969;28380;21650;17847;34816;106
970;28087;17847;12288;5851;86
971;27209;28087;16970;8485;86
972;27794;15799;9947;4389;78
973;27795;23698;11117;6729;70
974;27795;26039;18432;9947;66
975;27501;25453;9654;5266;62
976;28672;21942;13459;7022;78
977;28086;28379;18139;10240;86
978;27794;19602;11995;4388;70
979;28087;23990;12581;9070;78
980;27502;19310;15799;8192;70
981;28087;25746;26916;9655;82
982;27795;23699;20187;9655;66
983;27794;28087;15799;14043;82
984;27502;27794;19895;10240;74
985;28086;17847;11118;7022;66
986;27501;28672;10240;4974;66
987;28379;26039;22528;46519;110
988;27210;29550;27502;62025;118
989;28964;28087;21650;11703;82
990;28379;26624;19310;13751;90
991;27501;27794;13751;6729;86
992;27794;26039;13458;8484;94
993;27502;27794;18725;10240;78
994;27794;67292;811008;54419;130
995;54125;43593;13166;7314;78
996;28672;42130;46519;136046;78
997;30720;22528;14628;6144;78
998;28087;22235;14921;9362;62
999;28379;29550;11996;13751;74
1000;27794;19017;40375;8777;74
Average;30482;27553;19944;17165;82
Range;483036;122588;803694;202460;80
