;Prim;BFS;A-Star;IDA;path Length
1;6329909367;4980144332;468151234;676697193;25600
2;5228092087;6917401753;1262426835;824848463;23276
3;5502457602;7948712773;215160127;724221657;21904
4;5348090648;7346884667;1077517740;378502303;24928
5;4633574470;5307140563;1567236772;809213725;23544
6;5686338893;4219821379;91815424;201680180;21640
7;4757901044;2252796839;92422803;28387644;23580
8;5480515605;2250266679;149797570;59397899;21768
9;5580550538;6941078993;2497991788;1232064040;21688
10;5008156313;6470150961;2818736348;1340442240;22088
Average;5355558656;5463439893;1024125664;627545534;23001
Range;4182425720;5801229126;2726920924;1312054596;3960
