;Prim;BFS;A-Star;IDA;path Length
1;63433340;16293316;7441560;3952643;2152
2;26339057;28524274;13089364;10828077;2216
3;23401052;10902098;2122023;1569062;2216
4;24489712;23542949;1484216;7731499;2640
5;24015745;26432387;17719018;13553968;2524
6;23098240;26875633;3734677;1676436;2704
7;22950784;31030150;4340301;5745230;2228
8;24487664;31703651;26536543;7649871;2188
9;23720248;27877106;2345255;5604210;2504
10;24810955;28627260;2041272;1134300;2168
11;24047050;29977771;22483547;7787380;2228
12;23911589;29272087;8437182;1175260;2916
13;22714971;25023069;5280626;3385347;2276
14;24296906;14785987;1464906;691054;2176
15;24988838;23750968;2043028;2304002;2520
16;24808614;29208307;5049787;7811371;2316
17;24765606;32823615;18076248;5208069;2168
18;23697719;22480621;2498854;2204527;2276
19;22509878;17714922;951150;1382986;2364
20;24920962;23704156;1926292;785263;2348
21;23886721;23090049;4221517;4003843;2180
22;22308590;22616960;3077854;3240231;2560
23;24662036;29382972;4039537;6438332;2380
24;24337574;24071334;1353144;3969027;2756
25;24351617;28820065;2551518;1261862;2196
26;25258882;27320927;5340018;2999737;2344
27;23909542;31785278;8337415;4655400;2236
28;22971265;28111456;4541005;2171467;2580
29;24554370;31117044;9557731;2876272;2220
30;23433528;30762447;11209298;8732972;2152
31;32427473;50262641;7608326;6646057;2228
32;33278856;24014283;3282947;2455261;2544
33;33234678;48671344;6933949;2908455;2180
34;24412765;44960951;19632144;9332159;2216
35;23437330;27813033;3561767;1328861;2580
36;30883572;33092488;2192532;3204537;2224
37;26589791;39380146;6712471;2708044;2160
38;24368293;22632759;1043896;1990950;2140
39;23872970;28459323;4110047;1923658;2300
40;29505559;10154285;782921;834122;2192
41;24547055;26656790;2361931;2372171;2648
42;23747749;29423347;4113558;1984221;2316
43;23772326;32400556;9970549;5809596;2248
44;28910762;33535734;7832728;4464936;2388
45;25393172;32158892;4129649;3784414;2220
46;25860117;29763315;3949132;4012035;2444
47;25702128;30236404;57306012;4384772;2188
48;25048231;20575980;2987449;3499157;2300
49;28575182;32617937;5568224;4843232;2304
50;26337886;32075217;3111207;1943553;2204
51;25575152;33706011;8233552;3926605;2252
52;22953125;18247695;1620261;779996;2576
53;25586270;31758361;14311728;4590742;2236
54;25243376;21730467;1386790;610012;2100
55;24895801;23026560;2602717;2180244;2152
56;24182803;12658991;1179064;2575801;2256
57;24187484;33237019;3466682;2812491;2512
58;23333468;31532204;4479565;2053854;2280
59;26358366;19253848;15477041;4033100;2168
60;24538863;28725564;4857860;7901190;2284
61;23615507;13957716;1234945;563785;2320
62;24228152;30059398;12994863;7404111;2184
63;24393747;28277344;12442196;7324532;2472
64;24083914;23747457;3028995;1590420;2748
65;24570754;15845096;2258653;1527517;2304
66;24489711;27609988;1933021;577830;2228
67;22798940;23169920;2248413;1152733;2800
68;23320010;9034613;883566;370103;2252
69;22814153;24908967;4022275;1499722;2696
70;22553179;22750665;2181122;886785;2296
71;24984743;64885666;13197615;6083735;2520
72;22659968;16365581;1338516;580755;2292
73;23756527;29737569;8567084;8474338;2332
74;26707697;32779729;1471928;2389725;2188
75;25228454;31828579;7748175;3548601;2180
76;22650606;22471844;1739339;531603;2384
77;26050874;18653199;1120257;427155;2468
78;24178415;32382417;12057463;5985724;2180
79;26218810;30425990;7216280;6368408;2292
80;23334638;30979536;3673822;3110036;2640
81;23735461;25588318;16777815;1736120;2420
82;29006725;40940431;22739840;9535496;2172
83;25712368;33320402;9462938;4761604;2144
84;23720833;9494243;1397614;581340;2152
85;22798647;19400135;1076371;409015;2464
86;24616687;17347744;994159;3014951;2316
87;25634251;13482580;1212417;630199;2184
88;23693331;29209478;9671834;8562109;2292
89;23512815;18302991;1397907;608549;2352
90;25372692;11158390;1450863;2523723;2216
91;24660281;23974785;1295214;1355484;2408
92;24012819;32096867;9834211;4656864;2216
93;23438794;30769762;15580611;9708113;2192
94;24145939;31747829;5750496;5277700;2212
95;23038555;43791834;11791516;1642790;2652
96;23811822;22439076;1622017;1449108;2732
97;24609080;27113201;1676143;2137529;2332
98;25569008;24268820;1504989;2408450;2416
99;24477715;32000904;9888337;5196073;2176
100;24015745;28781737;2804592;5137851;2356
101;23335223;28619653;4253699;2444729;2376
102;24253021;26841402;3154800;3278850;2228
103;24983865;31256893;3150705;1985977;2256
104;24541203;29410181;6494214;4131404;2208
105;23267346;29630488;8401781;4463181;2348
106;22260901;20228405;1847590;885322;2392
107;23862144;22785189;2460528;1006154;2764
108;23803045;26624022;5987772;5519657;2456
109;24600010;29190753;5411991;5032525;2424
110;23330543;30797849;2708921;1342026;2240
111;26318577;21091492;2776212;5184663;2332
112;22774949;24257702;2180244;1459348;2396
113;24609373;28159730;1237870;6219196;2292
114;23457226;8537534;747521;1408147;2208
115;23494382;6046871;807790;1770059;2188
116;26036245;32080483;8268660;6342369;2196
117;24349862;32411089;7685858;6802584;2160
118;23303626;14891605;1617921;1031607;2156
119;23519543;31377141;7692587;3820694;2464
120;23629550;30387078;11917321;5528434;2148
121;23483264;29098592;4827725;8831861;2256
122;24385555;31854910;5888005;4777403;2204
123;23196544;19899554;11591689;1204517;2352
124;23463077;26081886;4444163;3865164;2152
125;24222593;31896748;8527586;7148696;2216
126;23677825;20815889;1559114;710072;2216
127;24635705;28845226;15241814;9029639;2368
128;24513702;27387633;2900263;3172647;2348
129;23417729;31814535;1200129;445587;2248
130;24532134;18165482;1237578;2516702;2336
131;23564014;30727339;6299653;5036622;2184
132;26312433;16242994;1132252;481573;2344
133;24815636;30985095;5430715;4679684;2144
134;23271150;16836622;1110017;339969;2296
135;22849262;28116137;4118531;1768303;2688
136;24182218;29427150;5077582;2267430;2348
137;24127800;7549519;841729;1174968;2184
138;22877349;15767272;1001765;698954;2388
139;24724646;23344585;2183463;1689601;2284
140;24070456;30753378;2657429;1702767;2340
141;24927984;18879942;3401731;1146589;2204
142;23400467;31880071;7706337;4198111;2248
143;23936751;29100348;12118318;5533115;2280
144;24301295;28021051;3915486;1724125;2396
145;23784321;29735228;21188625;10163355;2200
146;24604400;22637147;1241966;715922;2320
147;23544997;21253283;1353143;482158;2476
148;23629258;30709493;16574478;8789731;2176
149;23839032;31045949;9135258;4281201;2336
150;23559626;31263330;11865829;6095146;2220
151;23561381;30916048;12346524;7071749;2192
152;22706779;13376084;868352;653313;2344
153;24429149;26277031;3287628;2153035;2240
154;23371210;9390088;1231142;347868;2324
155;22739840;29454067;4253114;2039809;2544
156;23236041;32487742;11080567;5349673;2252
157;23468051;6994511;803402;1041262;2192
158;23459566;32153918;2804299;3854046;2276
159;23800705;30732605;5780631;2754562;2200
160;23059913;31720327;6782982;12849455;2416
161;23566062;30114694;10556278;8217753;2136
162;23343415;31858714;6030487;2961118;2308
163;23968348;28383255;14129749;6470807;2560
164;23690698;7994521;1052673;353719;2236
165;24428271;28338199;5947689;4805490;2436
166;24557588;11710181;943543;402578;2160
167;24078940;16552534;4405251;4490682;2140
168;24221715;18661976;1455837;3782951;2188
169;24615809;23401637;2686393;2453799;2596
170;24038273;31198964;1921611;811301;2224
171;24171100;32222380;10586120;3387687;2232
172;23896376;31824190;4326257;2045954;2324
173;24254191;28010226;10496593;3449420;2476
174;24178122;26274690;1248111;1348170;2500
175;25093872;19909794;1233190;3966687;2388
176;23810653;17494030;2935957;1861341;2196
177;23518666;26347834;3442398;1544193;2316
178;24060216;19948706;1378305;1178479;2364
179;23813578;32333265;6486021;3130810;2204
180;22926501;32363107;3050060;1594515;2504
181;24322653;31567898;7930741;7039860;2164
182;24241318;24774968;6798487;3835029;2704
183;22679863;24345473;1532197;1146003;2292
184;23514570;31608272;5175008;5950030;2224
185;24281400;27268557;4886825;5199877;2876
186;23940847;31919276;5464654;2674690;2240
187;23699768;29993861;3817768;3537191;2224
188;24214986;25566375;3582833;5063831;2428
189;23486776;33450011;3453224;1614410;2376
190;25527463;28054112;3682014;2491833;2156
191;24026277;33020808;5918140;2859011;2172
192;24222886;28839374;3322444;1746067;2460
193;23706790;18095850;1287315;1139859;2348
194;24511654;29719137;93952661;7505048;2328
195;22395190;18167530;1732317;1751041;2272
196;24403988;13560405;2682882;1276783;2184
197;23640961;30613236;4359318;2402306;2304
198;24287251;9624437;1297848;445294;2200
199;24349569;27707999;4905549;3753109;2228
200;24794864;20488794;1135178;1336760;2384
201;22520704;25626059;2404647;1030145;2552
202;23209418;25619916;2434781;1013469;2444
203;22900755;26042682;9230344;763612;2736
204;23702694;31901429;8106869;4746097;2304
205;22930011;30320957;12211649;2015233;2344
206;24863910;30330027;6584911;6327155;2216
207;24314168;26866564;2758658;1312477;2400
208;25133076;33247844;7342086;3607994;2124
209;25401950;32631103;6611242;4389745;2136
210;23317084;30585735;11066816;6046579;2176
211;23963960;33355218;9755802;7438342;2176
212;25568130;23255059;1735535;5957929;2336
213;24552614;24454603;3423966;4096296;2644
214;24156472;31135769;29651261;7990717;2200
215;23417436;29596550;20174571;11788883;2208
216;24070456;11610414;1065546;366885;2276
217;25569886;30277364;7937177;5103620;2184
218;24013404;33761600;7578191;4158321;2288
219;25624597;32566445;13178013;4609759;2276
220;25743089;29310707;4850253;3683770;2600
221;25521319;24699485;2050928;2424541;2856
222;25125469;30683454;13245305;6563846;2188
223;24170516;28761257;2457309;7290301;2556
224;25871235;28712105;13616286;17284841;2284
225;25860409;33291730;8315472;4333571;2192
226;24276134;26778206;4836795;2423078;2588
227;25685744;17340722;1643375;4633457;2308
228;22740132;28205079;3079610;1443256;2612
229;26429461;30811600;1770644;648924;2180
230;24711480;31254553;5734989;2929813;2124
231;23702986;18520078;1254254;488302;2316
232;24815928;30619087;1967252;1051210;2252
233;25411605;32563811;4710404;2357250;2140
234;24013112;32029283;11791809;1621139;2124
235;23221413;30325638;25161163;9559779;2128
236;24875906;31104172;3082827;1530442;2236
237;24147694;32503249;5000342;7295567;2172
238;23729610;28479219;3176743;3603312;2532
239;24652381;21973009;3184057;3418114;2596
240;24313290;29072846;1646594;2266261;2180
241;24930324;15647610;1284389;2021085;2140
242;24769409;11140544;1172042;590117;2272
243;24924765;9854691;904047;490935;2216
244;24318556;28374478;4932758;2137529;2392
245;24468938;24675494;2466671;3749306;2156
246;25700958;32452634;3246667;1459054;2172
247;24030081;11389229;1040678;308956;2244
248;25926823;19816756;1182868;3898810;2432
249;24425053;9412031;836170;822419;2184
250;22918894;29433295;5866647;2652747;2812
251;23069275;23771155;1726172;931548;2716
252;24203868;30713588;7121195;6820723;2216
253;25026288;18198543;2674397;3371011;2176
254;22523044;21302728;2130507;1864559;2284
255;25360112;28819186;21143862;9086983;2352
256;24956070;28992974;3474581;1284975;2164
257;23430016;31175559;17315562;4507652;2276
258;24456066;27797234;1859586;2360761;2388
259;24573094;26317114;1685798;2932446;2172
260;24098835;28606780;2038932;1810726;2368
261;23395786;23541779;1375964;459337;2924
262;23614629;30280582;3435376;2000313;2268
263;25485332;28003790;3703958;1810726;2440
264;24559051;32124076;13491065;2954682;2228
265;23300700;12442780;1523421;575488;2184
266;23870045;32469018;11818432;4879510;2188
267;23661441;31768895;2447947;3050352;2228
268;23386423;31644259;16117480;5894734;2316
269;24214986;30016682;6410246;3638421;2208
270;24487371;32264218;8866677;3437424;2168
271;22473015;18620138;1347000;1297263;2432
272;22941421;32354037;3023143;2867787;2344
273;22837266;14076793;1162094;1723833;2220
274;26107925;27325608;976312;853724;2404
275;24419201;24819732;3307230;1873336;2780
276;24427101;25952569;1946771;1500015;2136
277;23137445;24111123;1769180;800184;2536
278;23815041;33353755;5406724;3281776;2268
279;24060216;29834411;1294922;598310;2312
280;24245707;28709179;6188768;9584063;2344
281;24033007;31387088;7460577;3620282;2184
282;23351900;29270624;8887450;8232089;2240
283;25027165;29497953;8433086;6125573;2292
284;23907786;29998835;1458469;6841788;2344
285;24389066;27483305;13788025;6181162;2532
286;25006393;15711098;1507037;2186389;2256
287;24339037;20315006;3777978;1687261;2152
288;24309780;32026357;5107716;2647774;2152
289;23892865;20075390;1123182;2614128;2160
290;22860380;13381058;1091000;554423;2348
291;22788407;20779902;1100947;1157121;2432
292;23739265;6770694;1096851;296960;2188
293;24672861;28712105;15093772;8380715;2252
294;23881455;29415448;2702192;2503536;2220
295;22688932;25900784;13496331;5595141;2724
296;23812700;32132268;10649023;4154517;2332
297;23432064;31979839;7400600;8334782;2136
298;24052024;30981876;3328003;6496262;2140
299;23532709;18018611;2280303;2745200;2124
300;22513975;119861930;6979005;2224715;2484
301;22941422;30981877;7480765;3601264;2468
302;24187192;20049059;1130789;533650;2176
303;23440842;31512017;4363121;2938590;2356
304;23123987;31536593;22714679;4131112;2344
305;25074269;24248925;1674680;1083978;2468
306;24135992;29652431;6058574;4616196;2296
307;23321180;33372772;14517406;6702816;2120
308;24150036;16876997;1792587;512878;2188
309;24641556;24273501;3902321;736695;2156
310;24098250;29801935;6316623;6761917;2284
311;23794561;30019608;4463766;2134895;2120
312;24549396;25213534;2342622;1136641;2436
313;24469817;31777086;5570272;4197818;2216
314;23279049;18097606;1413121;906387;2380
315;23786954;31623486;2795815;4364292;2244
316;24019841;28352535;2873931;1674095;2312
317;23917733;18665194;2769776;1629039;2140
318;24535645;30770933;17399530;8367257;2168
319;24300125;54727578;10357622;5578464;2220
320;22534747;26978325;7471403;711826;2604
321;24583626;31556488;4415491;4373946;2264
322;23417436;30321542;14802664;8678846;2260
323;23691575;17912408;1049162;3437717;2368
324;22889929;16566871;1596856;1840861;2192
325;26625485;28773253;9615367;8494818;2408
326;24580994;24069578;3054741;1935069;2292
327;24891704;24600888;2938005;1493871;2248
328;24766192;21857444;1379183;966072;2376
329;22822053;30490941;3321566;1557944;2368
330;23927974;28135739;6837985;2246658;2528
331;25722608;32444150;3498280;2730571;2196
332;24119315;31089543;14626828;7622954;2164
333;24615517;32639295;10141411;5356109;2196
334;23121061;28540073;3537776;2053854;2404
335;24012819;20215532;2826535;2988620;2140
336;24275256;30237867;5228841;2871591;2188
337;24313583;32248126;10291794;4462595;2312
338;50959840;33119990;3031335;4170901;2156
339;25360112;29562026;2163275;5202217;2144
