;Prim;BFS;A-Star;IDA;path Length
1;2741397;3393539;543013;205093;746
2;2794937;3246082;2569949;916335;690
3;2111783;1931266;252782;112055;738
4;2040980;1873921;205093;74606;754
5;2159179;2746955;340846;142483;686
6;2143380;2842333;605331;659164;694
7;2104468;1326227;235228;74899;726
8;2114416;2785867;1357825;1099192;742
9;2189899;2888560;977482;571392;674
10;2058827;2512606;350501;107374;882
11;2191069;2709799;374199;435054;690
12;2233785;2866617;1043896;398483;670
13;2167371;2251339;352549;223232;690
14;2109734;1638987;263314;162670;690
15;2152157;2628464;1228508;841144;886
16;2172637;1006154;288476;124636;686
17;2187559;2903481;1369235;533358;750
18;2087499;2785282;2478082;510537;714
19;2081062;2789086;2059704;1024293;702
20;2136943;2563513;534235;196608;758
21;2145428;2761583;645120;264485;714
22;2299613;2304587;548865;292864;814
23;2460821;2398210;298423;140727;786
24;2075503;1328860;210066;126683;690
25;2073748;2551517;448219;371274;714
26;2096568;2789378;440906;608549;658
27;2069652;2602718;685203;417207;734
28;2305757;2848185;1394689;674085;746
29;2082525;2719161;1938580;929792;690
30;2114415;2633730;260096;487132;718
31;2100372;2775627;1647471;880933;718
32;2091010;2747541;2936249;978945;734
33;2132555;2818343;849043;369518;814
34;2068189;2719454;1966081;827100;826
35;2071993;2722087;1668829;613522;706
36;2065263;2748418;1391763;265070;798
37;2155668;2449995;364545;193390;706
38;2090424;2323019;350208;200119;702
39;2323312;3016999;903461;374199;670
40;2186973;1873922;212992;96256;706
41;2130507;2452920;215625;212408;718
42;2093058;2781186;1701889;974849;702
43;2366027;2803715;618497;264777;710
44;2098909;2006749;228498;212407;858
45;2301954;2661524;634002;629029;706
46;2029570;1934776;198364;144823;750
47;2127288;2326822;323584;220306;962
48;2089254;2768313;1771522;727918;770
49;2188143;1891475;396727;212407;734
50;3783829;2893242;600942;267996;690
51;2144258;2165323;406967;323877;694
52;2068189;2719746;1204517;814227;698
53;2164738;2773872;371273;342309;658
54;2088961;2739934;460508;180517;694
55;2013478;1770936;280576;248979;714
56;2105639;2778846;1168824;715338;714
57;2084573;2421908;326510;406675;738
58;2031911;1028682;148042;132535;678
59;2076966;2619687;259219;651557;742
60;2208916;2174392;239617;183150;754
61;2135773;2407572;232887;108544;682
62;2138992;2707165;715338;442954;690
63;2043321;1782346;204215;136923;742
64;2085744;2756903;1004106;787603;698
65;2098324;2800788;227913;143945;706
66;2963166;2228811;232887;95086;802
67;2124070;2235540;215332;83383;918
68;2112075;1701011;146871;59685;718
69;2147183;2803129;839388;378588;790
70;2156545;2784112;314515;136631;678
71;2062630;2689612;1104750;507905;818
72;2477790;2722964;1831206;482159;678
73;2246951;2713017;431251;195145;710
74;2107687;2779723;628152;406675;682
75;2004116;1815114;181979;156233;742
76;2172052;2799618;665015;394680;774
77;2182585;2790841;1690772;1576961;750
78;2117048;2808395;918090;747521;746
79;2081647;2787038;582802;258634;702
80;2111490;2801081;1736121;718848;770
81;2120852;2123193;421595;182564;738
82;2173515;2564683;421596;580463;778
83;2180537;1247818;153600;43300;690
84;2163275;2875102;716508;357523;718
85;2126411;2655673;167936;573148;698
86;2126411;2793475;1815992;842899;698
87;2068189;2735545;779996;548572;742
88;2122315;2884171;1372746;777948;694
89;2110904;4201914;913701;445586;702
90;2117341;2541862;995914;505272;726
91;2137236;2779724;550327;380928;714
92;2148354;2823902;330606;549742;702
93;2134603;2746955;993573;442368;742
94;2314534;2816002;1246063;510830;766
95;2129922;2748711;641025;169399;738
96;2131678;2784405;1545071;449682;742
