;DFS;BFS;A-Star;IDA;path Length
126;4681;2925;5852;3803;16
127;4389;2341;2340;878;16
128;3804;2926;4681;3511;28
129;5559;4096;3803;1170;20
130;4974;3219;9654;3218;20
131;4389;4096;3803;1170;20
132;6729;4388;5266;4682;28
133;6144;3218;3511;1463;16
134;11118;3510;9070;4681;20
135;6729;3803;5266;1463;16
136;4681;3218;4973;4096;24
137;4388;2633;2925;1170;20
138;6437;2926;7900;5266;20
139;7022;3511;7022;2926;24
140;4389;3218;4389;1756;24
141;4096;3511;6144;7315;32
142;4096;2926;5266;2341;20
143;7022;3218;6144;6437;36
144;4974;6144;7022;7607;32
145;4389;2926;4973;2925;20
146;13751;2926;4682;2340;16
147;7022;3511;4388;2048;16
148;4388;2925;3803;1171;16
149;7314;4096;6144;4974;24
150;6729;3804;10533;10825;36
151;4973;3511;11117;3510;24
152;5266;2340;4974;1463;16
153;5266;2925;3804;3803;20
154;5266;2926;3511;1171;16
155;4681;3511;3803;1170;20
156;4681;4096;7022;4388;28
157;5851;2340;4389;2048;20
158;5267;2926;4389;3218;20
159;5266;1755;2926;878;16
160;4096;3804;3511;1462;20
161;3804;3510;4389;2633;20
162;3804;2633;3803;1170;20
163;6729;3511;6437;1755;16
164;4974;2048;5266;877;16
165;6729;5266;7021;6437;36
166;4974;2926;4096;1171;20
167;3804;2633;4389;1756;20
168;3803;2633;3218;877;16
169;4389;4974;8484;1756;16
170;8485;5852;7314;2633;16
171;5266;4388;4682;1756;24
172;5852;3511;4974;2633;28
173;4681;3511;4681;1170;16
174;5559;3219;4681;3218;24
175;4388;3510;9070;6144;32
176;4681;3219;5852;6144;32
177;3804;2048;3511;1170;16
178;4974;3218;4096;1170;20
179;5558;3803;4681;1756;24
180;3803;13166;5559;2341;20
181;4974;3803;4682;1463;24
182;4096;4096;18432;5266;24
183;6144;2926;3218;1755;16
184;4681;3511;6437;4096;28
185;4974;2633;4096;2340;20
186;4973;2048;5266;1171;16
187;6144;4096;5558;2048;24
188;4681;3803;91867;1463;20
189;5851;16091;7022;1756;20
190;6437;5266;4682;2048;20
191;4389;2634;5851;3511;16
192;4973;2340;2340;878;16
193;4681;2340;3218;1755;16
194;3804;3511;5851;5266;20
195;4974;2926;5267;2340;16
196;4681;3219;7022;3511;28
197;4388;2633;5559;4096;28
198;4681;2925;3804;1170;16
199;3804;1755;2341;878;16
200;5266;2340;4096;1755;20
201;5266;3218;7021;10825;40
202;4389;2633;4974;2341;20
203;5851;3219;7900;3219;16
204;4096;2925;4681;3218;16
205;5852;2633;4681;1463;24
206;4974;3218;8485;3510;20
207;4388;2048;3219;877;16
208;4096;3803;4681;6436;32
209;6144;3511;3511;1170;20
210;4096;2633;6437;4388;24
211;4096;1755;2048;878;16
212;6144;3219;5267;1756;16
213;5266;2340;3218;1170;16
214;4974;2340;4681;2048;24
215;4681;2340;4389;2925;16
216;5852;2926;7021;5852;28
217;4388;3804;4389;4681;24
218;4681;3218;6144;6729;40
219;4681;2340;4681;1463;20
220;3804;2633;4973;4096;28
221;5559;3511;5266;1756;20
222;4681;3803;7022;2633;20
223;5266;6144;8192;8778;40
224;6436;3511;4096;1170;20
225;5267;3511;4681;1755;20
226;4681;3219;3511;1170;20
227;4096;3218;5266;2340;24
228;4096;3218;3510;1171;16
229;4389;3511;5266;6144;32
230;4096;3218;4388;3804;28
231;4389;3218;4096;1170;20
232;4974;2341;3511;2340;20
233;4096;3218;6144;8192;36
234;4389;3803;6436;3218;16
235;5851;2926;3804;1170;20
236;5266;2926;6729;2633;20
237;5851;2048;4389;1463;20
238;4974;2048;4681;1171;20
239;4681;2925;5852;2926;20
240;4388;2341;4096;1463;20
241;4096;3219;5852;8484;40
242;4389;2926;7022;2340;16
243;4096;4973;4681;2048;20
244;5851;4096;4974;2048;28
245;4388;2633;3218;1755;16
246;3803;1756;3219;878;16
247;4681;4388;7607;4974;24
248;4974;2926;6437;4681;32
249;3803;2048;3803;2341;20
250;5559;2340;4681;2048;16
251;4682;2926;4389;1463;24
252;4389;3511;3511;878;20
253;5851;3218;5558;3804;32
254;4096;2048;5559;1170;20
255;7022;3511;5559;2926;24
256;4681;5852;4388;1170;24
257;5852;3803;5851;2633;20
258;4388;4389;7022;6437;24
259;4973;3219;6144;3511;24
260;4388;3218;4681;2634;24
261;6436;2340;4388;2633;20
262;4389;2633;3804;878;16
263;5266;4096;6436;3511;24
264;5267;2341;4096;2341;16
265;5266;2048;4389;2633;20
266;6144;3511;3510;2048;16
267;4096;2926;4096;2048;24
268;5851;4096;5851;5558;28
269;5266;2633;4974;4681;28
270;4096;2341;6144;3511;16
271;6144;3803;5559;3804;20
272;4974;2633;3511;878;16
273;6144;3803;5267;2634;16
274;6729;2048;5266;61148;16
275;6730;2341;4681;12581;16
276;5559;2926;3803;9362;20
277;4096;3511;4681;12581;24
278;4681;3511;3511;4096;16
279;5852;3510;4681;16384;20
280;8485;4389;8484;13166;24
281;4681;2926;6144;8192;24
282;5266;3804;9362;14043;16
283;4682;3218;5852;26917;36
284;5851;3511;3219;4096;16
285;4974;3218;3803;6144;20
286;4096;3219;6729;17847;24
287;4974;2925;4973;6729;20
288;4974;2048;2633;4389;16
289;5559;5851;4388;6730;16
290;4681;3218;7022;28380;36
291;4974;4096;5852;5851;24
292;4388;2926;4096;5558;20
293;5559;4974;4389;6729;20
294;4389;2340;3803;10240;16
295;4389;3803;10532;7314;24
296;4096;4096;8777;10240;32
297;4388;2926;4974;4974;24
298;4681;4096;21651;7900;28
299;4389;3803;3803;1463;20
300;8192;4096;4974;1755;24
301;4096;3803;4388;4389;28
302;4388;4096;7022;3804;24
303;4388;2341;3511;1463;20
304;4389;2926;4974;8192;32
305;4681;2341;3511;1756;16
306;6730;3511;3803;1463;20
307;4682;3511;7022;9362;40
308;4681;4388;6144;3218;20
309;4388;2926;4096;2048;20
310;4681;2634;4974;4389;28
311;4974;2341;3511;2926;16
312;4096;3219;8485;10532;36
313;4974;3511;4974;5266;28
314;4388;2048;2633;1463;20
315;4096;3218;6436;4389;20
316;4974;2633;3511;2633;16
317;4681;2340;4682;4389;24
318;4096;2048;3511;1755;20
319;4681;2341;3803;1463;20
320;4681;5559;3511;1463;20
321;5851;3511;3511;2048;20
322;3804;2633;2048;1171;16
323;4096;2633;4389;2926;24
324;4096;3218;4388;4096;28
325;4389;4389;6144;8192;32
326;4388;1756;3511;1463;20
327;5266;3511;3511;1755;20
328;7607;5266;4681;2340;24
329;5267;2340;2341;1170;16
330;5559;3511;3804;2048;24
331;3803;2340;5559;3803;20
332;4974;2633;3510;2341;20
333;6144;4096;3803;1755;20
334;5852;3803;4974;4389;28
335;5266;2340;3803;2926;16
336;3804;3218;5267;10826;36
337;5267;2340;2926;2341;16
338;4096;2634;4974;3218;20
339;4096;3219;2926;878;16
340;3804;1756;2341;1170;20
341;4388;4681;2926;2048;16
342;4681;2633;4681;3219;20
343;5266;2633;4389;3218;20
344;4973;2926;5851;5851;32
345;4389;3218;7022;3511;16
346;3804;2341;5266;3218;16
347;4974;3511;11117;5266;24
348;7021;6144;5559;4389;20
349;7022;3803;4681;2633;24
350;4096;3218;6729;8192;28
351;4974;3218;3804;2341;20
352;5558;2633;3511;1171;20
353;3803;2633;5266;1463;16
354;6437;3803;5266;2048;28
355;4681;2633;4389;3218;16
356;4389;3218;2633;1463;20
357;4389;3511;2926;1171;16
358;3804;2633;7022;4389;16
359;4681;2925;3804;2926;20
360;4388;2634;4974;2341;20
361;4388;4096;8484;5851;24
362;5559;2048;3511;2633;16
363;4681;2340;4388;3218;20
364;4096;2048;2048;878;16
365;5266;3511;4681;2340;24
366;4681;3218;6729;8778;40
367;4389;3804;3511;1463;20
368;4973;2633;3804;1463;16
369;7607;3803;5559;2048;16
370;4681;2925;3510;1171;20
371;5266;3511;3511;1463;20
372;5559;3804;5559;1755;24
373;8192;2341;3803;2925;20
374;4681;2340;5559;2926;16
375;4096;3511;4096;2048;16
376;3804;2634;4096;1755;24
377;3803;3219;3803;2633;24
378;4096;1756;3218;1170;16
379;4974;2340;3511;2341;20
380;4096;2926;5852;2341;20
381;6144;4681;5267;1756;16
382;4681;1756;2925;877;16
383;5559;2633;3218;877;16
384;4389;2633;3510;1463;20
385;7022;3804;4681;2633;20
386;4388;5266;4096;1756;20
387;5851;2048;3511;2341;20
388;4974;2926;4681;3511;24
389;4096;2633;4388;4096;24
390;8485;2925;3803;1463;20
391;5559;4389;6144;8777;32
392;7314;2633;3218;1170;20
393;6144;4974;4681;1463;20
394;5266;3218;5558;2048;20
395;7022;3511;3511;1463;20
396;6437;2633;4681;2341;24
397;3803;2341;3803;1755;16
398;4681;3219;4389;2048;24
399;4973;2926;4681;2340;20
400;6144;3803;9362;6437;24
401;8777;3218;5852;1755;24
402;8192;2926;3511;1755;16
403;9655;2341;3511;2633;20
404;4388;2926;5852;3510;16
405;5267;2048;3511;2926;20
406;5851;3218;4096;2633;24
407;4389;4974;3511;1463;20
408;7314;2633;5851;4096;28
409;6437;2633;4681;2048;16
410;5558;7314;5851;1756;24
411;4096;5559;5266;2048;20
412;4096;2341;3219;1171;20
413;5559;2633;12581;6144;16
414;7899;1756;2048;1463;16
415;5852;4388;5267;1756;16
416;4096;2926;4389;2048;20
417;5851;2048;6729;877;16
418;9948;3511;9362;20187;36
419;4681;1755;2048;1170;16
420;4681;2633;3511;1463;20
421;4388;2633;4096;2633;24
422;4681;2340;3804;2926;16
423;7314;3511;6144;2341;28
424;7314;2926;4974;3511;16
425;4096;2633;3804;1755;20
426;5851;3218;7607;3511;16
427;4973;3219;5851;9948;36
428;6437;2633;4681;1170;16
429;5851;3218;7606;3218;24
430;4389;3218;3804;3803;20
431;4681;3218;4974;2926;16
432;4682;3219;5266;8192;40
433;4389;2048;3511;1755;16
434;4388;2633;7899;3511;20
435;5852;2925;4974;7022;32
436;4096;5852;5852;4096;16
437;4682;2341;3218;1170;16
438;3803;2926;3511;2048;20
439;7606;3218;5266;1463;20
440;3804;3218;6144;9947;32
441;4096;2340;3803;1756;20
442;5266;3804;4681;2048;24
443;4388;2633;2926;2341;16
444;4388;3804;5851;4974;24
445;6436;2048;3803;1463;16
446;3803;1756;3510;2341;20
447;4389;2926;4974;3218;16
448;4389;3218;2633;1463;20
449;4096;3218;4973;1756;20
450;5559;2633;4096;1755;20
451;4974;3218;3803;1756;24
452;4096;2926;4096;3218;20
453;4096;1755;3218;1171;16
454;4389;3218;3219;2341;20
455;4096;2926;4388;5267;20
456;4681;2925;3803;1463;20
457;4096;4974;4974;4974;28
458;5267;3511;6144;15799;40
459;4973;3218;5266;2633;24
460;4389;2925;3219;1462;16
461;5266;2340;4389;2340;20
462;6729;3511;4388;1755;16
463;4388;3218;4681;7314;32
464;5852;2633;3511;2341;16
465;4096;5559;4974;5267;28
466;4096;2925;3804;4096;20
467;4681;3511;4974;2341;24
468;4682;3804;3511;1755;20
469;5266;4096;5266;7022;28
470;5559;2341;3219;1756;16
471;5559;4389;6144;6437;28
472;4096;3804;2925;1170;16
473;6144;2925;4096;3219;20
474;4681;3218;5266;4096;16
475;6729;2341;2340;878;16
476;4974;2926;4681;2926;28
477;4681;2926;5851;3804;20
478;4096;2926;4096;3804;24
479;4389;3803;6437;3804;20
480;3803;4096;6729;9362;36
481;7022;3510;7022;4389;20
482;6436;2926;4681;3511;20
483;6437;2925;2925;878;16
484;4974;2340;4096;3511;24
485;6437;2341;3510;1170;16
486;4974;4389;6729;8485;36
487;4681;2926;3804;2926;20
488;4389;2633;5559;6144;20
489;4974;3511;8484;2633;24
490;5266;5558;5852;6144;28
491;4388;2926;3803;2341;16
492;4096;2341;4974;4096;16
493;4388;2633;4389;4388;24
494;4388;3511;6437;11995;40
495;5559;2633;3511;2926;16
496;4389;2633;4974;2926;20
497;4388;2925;4389;2926;16
498;3803;1756;5266;1171;16
499;5852;3218;4388;2341;20
500;4096;3218;5559;11410;32
501;5266;4974;4389;1756;24
502;4681;5558;3511;2633;20
503;6144;2633;4388;2341;20
504;5559;2633;4096;1463;20
505;5266;3804;4096;2048;16
506;5266;2633;6437;1756;16
507;4681;3804;3803;1463;20
508;3803;3804;4681;3218;32
509;4973;2926;6729;7314;32
510;4388;3804;4389;2341;16
511;4974;5852;5559;1755;20
512;7607;4096;5852;10532;36
513;6436;2633;3218;2341;16
514;4973;4096;6144;4389;28
515;7022;3218;6144;3804;20
516;6436;2926;4681;5266;28
517;4681;2633;3219;2633;16
518;4388;2633;4388;5266;16
519;4681;2341;3803;4974;24
520;6144;2926;6729;4974;20
521;9655;2048;3511;3511;16
522;4096;3219;6144;3511;24
523;4681;3218;5852;4973;24
524;4389;2048;2926;1170;16
525;4681;3804;3218;2340;16
526;6729;3511;3511;1463;20
527;4389;2340;3511;1170;16
528;5266;2341;2633;1171;16
529;4681;2048;3803;1171;16
530;4389;2926;4096;2925;20
531;4389;3218;5559;8485;36
532;4974;2633;3803;2048;20
533;4388;4974;4096;2633;24
534;4974;4389;6144;9654;36
535;4389;6144;3804;1756;16
536;7022;3218;8777;21065;20
537;4681;2633;3804;3803;28
538;3219;2340;3219;1170;20
539;3511;2340;3511;1463;20
540;3511;3511;4681;2048;24
541;3804;2633;4973;2633;20
542;3510;2633;3511;2048;20
543;4096;2340;3218;2048;20
544;4389;1756;2633;1755;20
545;11411;2341;3511;3218;24
546;5559;5559;12288;3511;24
547;11996;2925;6729;3804;28
548;2926;1463;1755;877;16
549;3803;2926;4096;1463;16
550;4096;2341;4096;2634;24
551;2633;2341;3218;4681;28
552;5559;4096;2926;2048;16
553;3511;2341;3218;2048;20
554;3218;1756;2633;878;20
555;2633;2340;2926;1463;16
556;2340;1755;3511;2633;16
557;3218;2048;3511;1756;20
558;3511;2048;3803;4388;28
559;2926;1463;2341;878;16
560;4682;2633;2926;1463;16
561;3218;1755;3511;2048;16
562;3218;3218;2633;1170;20
563;2341;2634;3804;2048;24
564;3510;2340;4096;2926;16
565;2926;2340;3804;2048;20
566;2633;2926;2633;878;20
567;2926;2048;2926;1463;24
568;3218;2926;3803;4388;32
569;3218;2048;2633;1170;16
570;3218;2633;4096;5852;32
571;2926;2048;2633;1755;16
572;3511;2340;4682;1463;16
573;4973;2048;2340;2633;16
574;3219;2340;4096;2633;28
575;2633;2048;2341;1463;16
576;2633;2633;4681;6144;32
577;2926;2340;6437;2340;20
578;3511;5266;4681;2341;24
579;3511;2925;3511;1463;20
580;3218;2633;4096;2048;20
581;2048;1463;2633;2048;16
582;2633;2340;4096;1756;20
583;2634;2341;4096;2633;20
584;2633;2633;6144;4388;28
585;2633;1463;2048;878;16
586;2633;13459;3803;3218;20
587;2925;2633;4681;5852;36
588;2633;2633;2925;1171;20
589;2633;2341;5267;5559;28
590;3511;2341;6729;8777;32
591;3218;2048;3218;1463;20
592;2926;1755;2925;1171;20
593;2926;2341;4681;3218;20
594;3218;1755;3218;4681;20
595;3804;1755;3218;2048;16
596;2633;2633;3218;2341;24
597;2633;2634;2926;1170;24
598;3218;2633;2634;1463;16
599;3219;2633;3219;1463;24
600;2926;2633;4974;1756;16
601;4096;3219;5266;8777;36
602;3511;1756;4096;2633;16
603;2633;2048;4096;4389;28
604;2633;2633;4389;1463;16
605;3219;2633;2340;878;16
606;3510;1755;2925;2048;16
607;2926;2633;6144;8484;24
608;2633;6437;4682;2633;20
609;2926;1462;2340;878;16
610;2340;1463;2926;1170;20
611;3219;2048;4096;3218;20
612;4681;2341;3803;878;16
613;2634;2633;3804;1463;16
614;4096;2633;3511;1463;16
615;5558;2048;3511;2926;20
616;2926;1463;2340;1170;16
617;2340;3218;9654;9070;36
618;4974;2340;3803;2340;20
619;2926;2048;3219;1170;20
620;2926;2341;5852;4389;32
621;4681;1756;2926;878;20
622;2634;2926;3218;1170;24
623;2925;2048;4974;2048;20
624;6144;5266;7022;3804;16
625;2633;2048;4388;3219;20
626;2634;1755;6144;878;20
627;3803;1463;3218;7021;16
628;5559;2633;2633;1463;20
629;2634;2341;6144;878;16
630;7900;2341;2341;1756;20
631;4389;4389;4682;3511;24
632;3511;2926;2633;3510;16
633;2633;2048;6436;3804;24
634;2633;2340;5266;6436;32
635;2926;1463;2633;585;16
636;4388;3511;5266;4388;24
637;3218;2048;4389;2634;20
638;2633;2633;2926;1463;20
639;3218;2633;4389;2341;16
640;2926;2048;1755;878;16
641;2340;2048;5266;4681;32
642;2926;2048;2926;878;20
643;3218;3804;3511;5852;28
644;6144;2633;4974;877;16
645;7900;3218;2926;1755;20
646;3804;1755;2340;878;16
647;2926;3218;4388;2633;20
648;2633;2341;4681;2926;20
649;3803;2634;4681;1463;24
650;3511;1462;2633;3511;16
651;2341;2048;8192;7607;32
652;4096;1756;2925;2048;16
653;2341;2341;3511;3511;16
654;2926;2341;3218;2340;24
655;4388;2634;3511;3803;24
656;2634;1463;2341;1463;16
657;4681;1755;2926;1463;16
658;2633;2633;4096;3804;24
659;3218;2341;4974;3804;20
660;2341;1755;5559;2048;16
661;2341;1755;2633;1755;16
662;2926;2048;3804;3803;28
663;3511;2633;2633;878;16
664;2925;2048;3804;2048;16
665;4681;2925;3218;1463;20
666;4096;1755;2926;2048;20
667;4974;2341;4682;4096;24
668;2926;1755;5266;1755;16
669;3218;1756;2633;2341;20
670;2633;1463;2340;878;20
671;3804;2633;2633;1170;16
672;3218;1463;2926;2048;16
673;3218;2340;3511;2048;20
674;3511;2048;3511;2048;24
675;2925;2926;4974;5266;24
676;2633;1755;3804;2634;16
677;5267;2341;4096;2341;20
678;3803;4682;3803;1462;24
679;2926;2048;2926;877;20
680;3218;2926;2925;1463;24
681;3218;2048;2341;1463;16
682;2340;2048;4096;3219;24
683;2926;1756;3218;3511;24
684;5266;1755;4096;1755;20
685;2925;2048;4681;2633;24
686;2634;2340;4388;3804;32
687;2340;2340;3219;1170;16
688;4096;2048;2341;2926;16
689;3803;2340;3803;1170;24
690;2633;2926;6729;4974;28
691;2926;2633;2340;878;16
692;2341;2633;2926;6144;24
693;3803;1755;4096;2048;16
694;4096;1755;2048;878;16
695;2633;2341;2341;1463;16
696;2633;2048;4096;3803;24
697;4096;2340;3218;2633;28
698;2925;2634;3218;1463;20
699;2633;2633;3218;3511;28
700;2633;2048;2633;1463;16
701;3511;2048;4974;1755;16
702;2926;1755;2340;878;16
703;2633;1463;2048;1170;20
704;2633;2633;2633;878;20
705;2340;2633;4096;10240;44
706;2634;2340;3511;2048;24
707;4096;1755;2926;1170;20
708;3510;1463;2633;1463;16
709;2341;2048;4096;2048;20
710;3803;1755;2926;2048;20
711;2634;2048;4389;4389;32
712;2926;2926;4681;3803;28
713;2926;2048;3218;2341;24
714;2926;6729;3218;878;16
715;2925;2633;3218;1463;20
716;3511;2341;2926;1170;20
717;2340;2633;3218;3218;28
718;6729;3218;3803;4682;28
719;2925;2341;4389;6729;40
720;2926;2340;3219;1463;20
721;4389;2340;2633;878;16
722;2925;2048;2926;1170;20
723;2926;2633;5559;7606;32
724;2633;2340;4681;3218;32
725;4096;1755;2926;2340;16
726;2926;1463;2340;1170;16
727;4096;4389;2633;1171;20
728;3511;2341;2340;2341;16
729;2926;1463;2926;1170;16
730;3219;1755;2341;585;16
731;2633;3218;4973;4974;24
732;2926;1756;2926;877;16
733;2633;5852;4096;878;16
734;4389;2048;3511;1755;16
735;3218;2633;3218;1463;20
736;3511;5851;6729;7607;32
737;3803;2048;2633;2341;16
738;4681;2926;4388;1170;20
739;2633;2048;2633;878;16
740;2341;1463;1755;585;16
741;2633;2341;3218;3804;24
742;2925;2633;2633;1170;20
743;4096;2341;2926;1170;20
744;2633;2048;2633;877;20
745;5266;2340;4681;3511;16
746;3803;2633;5851;7022;28
747;3218;3218;5851;1463;24
748;2925;3219;4389;3803;28
749;2926;2048;2341;1463;24
750;2341;2048;2634;2926;20
751;3218;2048;2633;585;16
752;3218;2048;3803;5558;32
753;4096;2633;3219;1170;20
754;2633;2048;2341;1755;16
755;2633;1463;2633;1170;20
756;2634;1755;5266;3803;28
757;2633;1463;3219;1463;20
758;2926;2634;4389;7606;40
759;2633;2048;2633;1756;20
760;2633;1463;2048;1171;20
761;3218;2340;2633;2341;16
762;4096;2633;3219;3804;28
763;2341;2926;4389;4974;36
764;2633;2340;2926;2048;20
765;3511;2048;3804;3803;24
766;4096;2341;3511;3510;32
767;2341;1755;3804;2340;20
768;2341;1755;3219;2048;20
769;2633;2341;3218;1756;24
770;2341;2634;5559;2341;24
771;4096;2340;4389;2926;28
772;2926;2633;3803;3218;28
773;2633;2633;3803;7022;32
774;2633;2048;4388;3218;24
775;2634;1755;2633;2341;16
776;2633;1755;4681;2633;16
777;4388;1755;2633;1170;16
778;3511;2048;2926;1463;20
779;4096;4681;3218;6144;28
780;3511;2341;3511;5267;36
781;2926;2341;2633;1171;20
782;2633;2341;4389;2048;20
783;4974;2926;3803;12581;20
784;4096;3803;2925;4974;24
785;2633;1756;1755;878;16
786;2633;4388;2926;1462;16
787;2926;2048;4096;1755;16
788;3803;2341;4682;3219;20
789;3218;2048;3219;1170;20
790;2341;1463;1755;878;16
791;2926;2048;3511;1756;20
792;4681;2633;6144;3511;24
793;2634;1755;3218;2048;16
794;4096;2633;5559;9070;36
795;2926;2048;2926;2048;24
796;2633;2048;3510;2926;24
797;3218;2633;2633;1171;16
798;2633;2341;4388;4388;32
799;3511;2048;4974;2926;20
800;4389;2341;4389;5266;28
801;3510;3218;2633;1170;20
802;2633;1462;2926;1170;16
803;2633;2633;4681;2926;20
804;2633;2048;2925;3511;20
805;3511;2340;6144;2926;28
806;2925;2633;3511;4096;32
807;2925;2340;1755;877;16
808;3510;2048;2633;1756;20
809;4096;1756;3218;1755;24
810;2926;2340;2925;1170;16
811;7607;2048;3804;1463;24
812;3803;1463;2341;878;16
813;3803;3218;3511;5559;32
814;4389;2633;3218;1463;20
815;4974;2634;2341;2048;16
816;2925;2340;3803;877;20
817;5267;3218;4096;1170;20
818;4096;2048;5558;3803;20
819;2633;1756;4096;2048;16
820;2925;2633;4681;5266;36
821;4682;3218;4974;4681;20
822;2926;1463;2341;1170;20
823;4096;2340;4388;1170;20
824;3218;3803;4973;878;16
825;3511;1755;2633;878;16
826;4096;2048;2633;1170;20
827;4096;4388;4681;1463;24
828;4096;1463;2926;1756;20
829;3803;2633;4388;4681;28
830;2926;3804;3218;1756;20
831;7607;3218;3219;5266;24
832;2633;2048;2925;4388;24
833;3803;1755;2048;877;16
834;3511;2633;3218;3218;28
835;7606;2633;3803;2048;24
836;3803;1755;2633;585;16
837;5851;3218;4389;6436;36
838;2633;2633;4096;1170;16
839;2926;2048;3511;2048;16
840;2341;2633;2925;2048;20
841;4096;2341;3510;2926;24
842;4389;2340;6144;2340;16
843;3511;5559;4096;1171;20
844;3511;1463;2341;1462;16
845;2341;1756;3511;1171;16
846;2633;3511;11995;9069;36
847;4681;2048;8485;2341;20
848;2926;2048;4973;1171;24
849;2633;2926;2926;1463;24
850;2926;2340;3803;3804;24
851;3803;1755;3219;1170;20
852;3511;2341;2633;1170;20
853;2340;2048;3511;4389;36
854;2926;1756;3511;1171;16
855;2341;1756;4389;3511;20
856;4096;2340;3218;2048;24
857;2926;2633;4974;6729;32
858;3511;2633;4681;8777;36
859;2925;2634;2926;2340;16
860;4974;3219;5852;3803;28
861;3804;2048;2926;1463;16
862;3803;2048;2925;1463;16
863;3803;2048;4096;877;20
864;3803;3803;6144;3511;28
865;3511;2633;5266;3218;24
866;2633;2048;4096;3219;24
867;3804;2634;3219;1756;16
868;4681;1463;2340;877;16
869;3218;2341;2926;1170;20
870;3219;2633;3218;1463;20
871;3218;2925;2633;1755;20
872;3803;1755;3511;2048;16
873;3511;2926;4389;1463;20
874;3804;4388;3804;4389;32
875;4974;3218;2634;1170;20
876;2634;2048;3511;2633;16
