;DFS;BFS;A-Star;IDA;path Length
1;11411;4974;5558;3218;16
2;6436;3803;7314;4096;20
3;20773;4681;6144;3803;28
4;7899;3511;3803;1170;16
5;12288;2926;4974;3511;16
6;5559;2925;4681;2926;16
7;4974;2340;2926;1170;20
8;5266;4682;4096;1170;20
9;5559;2633;5851;2048;16
10;6729;3218;4096;1171;20
11;4682;4389;4973;2340;24
12;5266;4389;8485;4388;28
13;5266;3218;6144;4974;24
14;5266;2633;4681;2048;16
15;5559;3218;4681;2633;24
16;5559;3218;6729;9069;36
17;4389;2634;4388;2633;16
18;5267;2925;6144;3804;28
19;4682;2926;3804;2048;20
20;4974;3219;4974;2341;20
21;5267;2341;4096;1170;16
22;5851;4096;4681;1463;16
23;5851;4096;6729;4974;28
24;4681;5266;6729;3511;20
25;6437;3218;5559;2341;20
26;4974;4096;4096;1170;20
27;5851;4681;6729;7022;36
28;8485;2925;4681;2926;24
29;4682;4389;5851;3511;16
30;4681;2340;4389;1755;20
31;5559;2926;11703;2048;16
32;5266;4096;4973;3218;20
33;5266;2341;4682;1170;16
34;4388;2926;5851;3804;24
35;4096;3218;5266;3218;28
36;4681;4388;4681;4096;28
37;4388;7607;6730;2634;24
38;6144;4096;6144;2925;16
39;4973;3511;3511;878;16
40;4388;2341;4389;2926;16
41;5852;3218;3803;2341;20
42;6144;2340;4681;2925;24
43;5559;3218;6729;5852;24
44;19310;3218;4388;3218;24
45;4681;3511;6144;2926;24
46;4681;3510;5559;3218;24
47;4974;3218;4681;2634;16
48;4389;2926;4096;4388;28
49;5559;4388;7314;4389;20
50;4389;2633;4096;3218;20
51;5267;3219;4681;1756;24
52;4388;3511;4681;2048;20
53;4389;2926;3218;1755;16
54;4096;2048;4096;2341;24
55;4681;3511;5851;3803;28
56;5559;3510;3511;1170;20
57;4389;3803;4974;2634;28
58;4974;2340;6436;1462;16
59;5267;4681;6144;3218;24
60;4389;4096;3804;1171;20
61;4681;2926;7314;1463;16
62;4388;2048;3511;878;16
63;5852;2633;4096;3218;24
64;11995;3804;8192;3510;20
65;4681;3511;4096;1170;20
66;4388;3511;6436;1756;24
67;4389;3219;4096;1463;20
68;4096;2633;5267;1755;16
69;4974;3218;3804;1463;20
70;5266;3218;4973;2341;24
71;4389;3218;3218;1170;16
72;4096;3803;6729;7022;40
73;4096;3218;4974;4682;32
74;3803;2633;3219;1756;16
75;4389;2633;3803;1170;20
76;4389;3218;6144;7607;36
77;4096;3803;7607;7607;36
78;4388;3511;6144;4974;16
79;6144;2926;3511;1170;16
80;6144;2340;4096;4096;20
81;4681;3511;6437;2341;20
82;4389;3803;4681;2048;28
83;4974;2633;3511;2341;16
84;4681;2926;4096;2048;24
85;5559;3218;4096;2340;24
86;4096;3219;5558;3803;28
87;5559;2926;3803;1171;20
88;4681;3511;5559;8485;24
89;5558;2633;4681;1756;20
90;6437;3803;3803;877;16
91;4096;3803;5851;4388;24
92;6144;3803;8485;10532;32
93;5267;2341;2633;878;16
94;7314;3218;4388;1463;20
95;4681;2926;4974;3804;28
96;4974;2925;3803;2048;20
97;4096;3219;5266;6144;36
98;5852;5851;9947;13750;48
99;4681;2633;4974;4096;28
100;5558;4096;5267;3511;20
101;4389;3218;5852;8192;36
102;4096;3218;3219;1756;16
103;4096;2633;5266;3511;28
104;5559;3511;6144;3511;24
105;4096;2633;4388;3218;28
106;5852;3511;3803;1170;20
107;4096;3803;5852;5559;40
108;4096;4096;7607;9655;36
109;4973;3803;4974;2633;24
110;4974;2048;5267;1170;16
111;6729;3218;7315;2341;24
112;4389;2633;3219;878;16
113;4096;3218;3804;2340;24
114;4388;3219;4681;4974;28
115;4681;3219;6144;7022;40
116;4388;4096;4096;1755;20
117;6436;3803;7315;9655;36
118;4096;2633;4096;1463;16
119;6144;3804;7607;2341;20
120;4974;3218;5267;4681;28
121;4096;3218;4389;2926;16
122;4096;3219;4973;7022;20
123;5267;3218;5266;4096;28
124;3803;2633;5266;1170;20
125;7314;3803;4388;2926;24
