1;471332;396727;167351;234349;344
2;382391;427740;363958;4515256;416
3;374784;292864;83090;373029;340
4;371858;325340;102985;127854;352
5;382976;262144;111470;358985;296
6;375370;392923;300471;165888;352
7;373321;316269;182565;110592;308
8;371274;330898;171447;521070;368
9;371566;241664;133120;2063507;388
10;300471;231131;129902;68755;328
11;285549;268581;56467;114688;292
12;290816;258048;141019;672622;336
13;348452;287890;165011;3868673;472
14;291108;268874;156525;1491822;400
15;292864;198656;86893;161792;288
16;289939;200996;62610;31597;312
17;287598;271214;176128;552375;344
18;287305;244297;86309;50029;336
19;291109;273261;102985;59977;360
20;293157;237275;78994;1215342;364
21;302811;229376;150090;2263041;404
22;293742;254537;143945;144823;368
23;287597;267995;93331;1078126;360
24;288476;212115;156526;521948;376
25;288768;239909;256000;1326812;372
26;291694;274724;245468;5513217;456
27;289645;228499;180517;1148928;432
28;303104;266241;137216;1402002;356
29;290524;244590;159159;81335;336
30;302226;236982;78409;49445;292
31;288183;267118;183735;1770643;404
32;290231;221769;147456;274725;372
33;290816;231424;162084;66706;312
34;290816;258633;120540;46226;344
35;291109;238153;128146;1099484;412
36;292279;203337;137509;373029;396
37;303982;238446;95378;94208;316
38;294912;169984;64073;32476;308
39;292864;245468;181980;90405;280
40;288476;246638;185198;4918420;504
41;289938;222062;50614;25746;284
42;289061;267118;72850;547402;380
43;287598;208896;353427;114980;300
44;305737;278528;183442;79287;356
45;288768;239908;62025;36864;300
46;287305;208311;62317;47982;320
47;289353;237568;143653;748106;372
48;289938;261266;66998;30720;296
49;287891;234643;58807;33060;248
50;307785;277358;133413;746350;360
51;289353;244590;194560;414573;332
52;314514;224988;77532;41838;296
53;287598;198656;100352;40083;280
54;287013;253367;86601;52955;320
55;289646;243419;91868;116444;320
56;287013;268874;266825;6647809;484
57;486253;332069;186661;1752503;428
58;291109;231131;97426;274432;364
59;288183;263315;62903;60855;276
60;288768;247808;98012;28379;312
61;286720;245175;83675;615863;384
62;290231;236690;118784;703927;388
63;287305;272092;143945;2803420;360
64;292279;233765;66414;43300;256
65;286720;249563;97134;572562;380
66;287012;257170;71387;39205;328
67;287305;240494;71095;73728;328
68;303396;284087;96256;60270;296
69;289060;235521;90404;45056;360
70;289061;218844;150674;659164;380
71;287891;268581;123465;176713;364
72;300471;205386;67292;40082;320
73;289938;216210;52956;30135;288
74;289353;249856;66121;33353;296
75;340261;234057;69924;45056;304
76;285843;272969;133120;79872;328
77;291108;219721;75484;145700;320
78;288769;202167;59685;41253;312
79;289353;249564;66121;48859;336
80;287305;236105;57930;38619;288
81;286135;267410;263607;111177;312
82;293742;189293;78994;173495;324
83;291109;270921;123465;267703;372
84;296668;258341;189002;3429815;428
85;290816;257756;231424;365129;364
86;288475;269458;165888;1521372;404
87;293742;224109;145993;119662;312
88;576073;265655;102692;436809;384
89;349916;276188;235520;2394698;428
90;291402;256293;208019;2964627;404
91;291402;253952;134583;61732;368
92;316562;277065;172617;74021;348
93;292864;229084;73436;88649;308
94;342894;290231;97719;222940;364
95;290231;163547;74020;35109;344
96;290231;189293;61733;262729;304
97;287013;232009;135168;47104;304
98;287597;230546;55296;28964;296
99;288768;262437;127561;597723;368
100;286135;267410;76654;47689;348
101;287597;224110;40375;28379;252
102;288768;207433;43300;22528;244
103;293157;190757;95671;354011;372
104;290524;288183;224403;2969016;508
105;300470;238446;44471;21650;236
106;286720;246931;205385;893806;344
107;288476;218258;104741;347283;324
108;286135;189294;86308;69340;340
109;361911;187538;54126;123173;284
110;345235;260388;258340;92452;304
111;303982;220891;139264;90697;352
112;307493;249856;127269;2808979;424
113;290523;274140;151552;2171465;424
114;299008;251904;119954;1849637;424
115;301934;267703;77824;50322;276
116;290816;246052;208896;102400;320
117;288768;257462;116736;332654;348
118;290231;265948;112347;123465;356
119;288475;274140;202167;443831;388
120;292279;200411;65536;40668;312
121;288475;210359;62025;69925;260
122;291401;255415;204800;109714;356
123;287306;260388;205677;9445085;560
124;313636;216503;68755;40082;352
125;291986;233179;76361;46226;320
126;351085;197485;67877;34231;304
127;288183;245760;65828;144823;280
128;303104;186953;78409;63488;300
129;289646;255123;238739;949395;368
130;286427;137216;56759;28964;288
131;287305;272970;66706;88064;320
132;291109;241956;124343;350793;352
133;291109;245760;164133;100059;340
134;288182;200704;65536;54419;288
