;Kruskal;BFS;A-Star;IDA;path Length
1;1372672301;293989880;107312005;3,91667E+11;24542
2;1385883367;393364713;240652926;1,81675E+11;19566
3;1310786701;276243955;71800262;1,8955E+11;19258
4;1397317646;302242151;78015066;5,40863E+11;27786
5;1370234303;437830313;38556241;1,39048E+11;18726
6;1384527883;435082481;66735850;2,99247E+11;19878
7;1386035504;402070763;141742111;5,24907E+11;25178
8;1347335025;409652168;132885387;4,12817E+11;26946
9;1253331804;360158433;156301931;1,65193E+11;19734
10;1259876336;387368167;209319690;5,12919E+11;23554
Average;1346800087;369800302;124332146;3,35789E+11;22516
Range;143985842;161586358;202096685;5,38716E+11;9060
