1;2566438;2054438;1050917;1225854207;6562
2;1552678;1485387;1790539;1439149190;7514
3;1504111;1856367;983626;2055545023;8154
4;1512011;1297263;1653907;769641945;5474
5;1494749;1260399;636636;545576814;5202
6;1483631;1211832;817738;980189680;6882
7;1676436;2275622;986845;2665897788;8382
8;1503525;1974274;2311023;1739626432;7458
9;1501478;1171164;814812;550760013;4402
10;1548290;1289656;659749;1080242460;6590
11;1590712;1215050;1403173;775170380;5958
12;1490360;1585739;1124353;1373664337;8022
13;1507915;1085441;1126401;489573623;4762
14;1528102;1020490;617326;662088798;5578
15;1495626;2140747;2457309;1369394254;7102
16;1563210;2481593;2809273;4130972339;13306
17;1543023;2152157;1225875;2932294528;10930
18;1495626;2741104;1782346;3461955152;12038
19;1491238;1873629;804280;2072576205;8114
20;1485386;2265675;2254557;3005296132;9602
21;1731439;1140444;1158291;526114361;4754
22;1581058;955246;573148;470612639;5526
23;2534841;2067604;1693112;2092231462;6982
24;1650982;2033081;672915;1581968341;6838
25;1564088;1471636;4471665;1343618691;8678
26;1492408;1359873;664723;722378163;4774
27;1490653;1988025;2775627;1422330123;5702
28;1521080;2419860;1886502;3794164717;10958
29;1496796;1929510;2582530;2480557736;11790
30;1487726;2380948;3000615;2097125893;7450
31;1542731;2069067;2359297;1677867772;6870
32;1768303;1735243;2456724;1260868306;7330
33;1580472;2337355;2906992;4356150705;14702
34;1538050;1904642;1648641;1715625317;7310
35;1509962;1523128;1894109;524180170;4446
36;1514643;1426580;1682872;1115936203;6078
37;1528687;2024888;1767425;2844129521;10862
38;1544194;1426872;1754552;1415234089;8762
39;1484216;1045944;1177601;645656218;5614
40;1520495;2418982;2707166;3710996540;12574
41;1509085;1367773;4203085;860657186;5862
42;1563796;1526931;1205981;1564214799;11098
43;1558237;2208916;1460810;3159527625;11066
44;1497675;1723247;1366310;1504767456;6322
45;1503233;1043603;1241674;320286685;3630
46;1670292;2079600;1997972;2264703043;9002
47;1512888;2096276;2446485;1659339210;5918
48;1492993;2555614;1673217;4089595977;13054
49;1581935;2046538;3041575;1796539521;7338
50;1552971;2065264;856358;1519398964;6526
51;2371293;1576084;1325057;1273665097;9338
52;1496211;2671472;2233785;3454900371;11578
53;1938287;2520212;2936542;2456207581;7954
54;1535416;1677606;1698378;1256713203;6294
55;1499430;1874507;1126694;1496502306;6146
56;1492993;1836180;3036602;1584406048;6770
57;1517861;2706873;676719;1181472255;6014
58;1524006;871279;563493;369622460;6382
59;1530442;1412244;811301;940278809;7222
60;1492115;2127288;829441;2451719239;8050
61;1883284;1046529;1216220;477175022;4562
62;1499137;1549752;3133735;1513215170;8586
63;1507915;1073153;1985977;561765681;4954
64;2301954;1694575;766538;1476196370;7166
65;1722076;2373926;1322716;3626086684;10466
66;1555311;2052683;868060;2002516702;7054
67;1560869;1129327;1031900;889164784;9610
68;1549460;1217683;1995631;855016697;7214
69;1495334;2151280;1358995;1710697240;10470
70;1540097;974849;2344962;230800423;3114
71;1536002;1564673;1636061;1691957147;9598
72;1510547;2159764;2685515;2962805657;9654
73;1509377;1786736;1362799;1753322297;7986
74;1545949;1225290;1191937;1228319709;9678
75;1486556;2345840;1759526;2715101028;9826
76;1547704;1927755;2553565;1684806695;6534
77;1537757;1969885;2050927;2237060872;9354
78;1548582;4520232;729088;1506153952;6570
79;1537464;927452;708316;619321842;7054
80;1490946;2034250;2556784;2869271958;10862
81;1518740;1935362;1917514;2610340770;10802
